"Value, Ohm",mfr pn,"Tolerance, %"
0,Yageo RC0805 JR-07,5%
1,Yageo RC0805 JR-07,5%
1.2,Yageo RC0805 JR-07,5%
1.5,Yageo RC0805 JR-07,5%
2,Yageo RC0805 JR-07,5%
2.7,Yageo RC0805 JR-07,5%
3.3,Yageo RC0805 JR-07,5%
4.3,Yageo RC0805 JR-07,5%
5.1,Yageo RC0805 JR-07,5%
6.8,Yageo RC0805 JR-07,5%
8.2,Yageo RC0805 JR-07,5%
10,Yageo RC0805 JR-07,5%
12,Yageo RC0805 JR-07,5%
15,Yageo RC0805 JR-07,5%
20,Yageo RC0805 JR-07,5%
27,Yageo RC0805 JR-07,5%
33,Yageo RC0805 JR-07,5%
43,Yageo RC0805 JR-07,5%
51,Yageo RC0805 JR-07,5%
68,Yageo RC0805 JR-07,5%
82,Yageo RC0805 JR-07,5%
100,Yageo RC0805 JR-07,5%
120,Yageo RC0805 JR-07,5%
150,Yageo RC0805 JR-07,5%
200,Yageo RC0805 JR-07,5%
270,Yageo RC0805 JR-07,5%
330,Yageo RC0805 JR-07,5%
430,Yageo RC0805 JR-07,5%
510,Yageo RC0805 JR-07,5%
680,Yageo RC0805 JR-07,5%
820,Yageo RC0805 JR-07,5%
1000,Yageo RC0805 JR-07,5%
1200,Yageo RC0805 JR-07,5%
1500,Yageo RC0805 JR-07,5%
2000,Yageo RC0805 JR-07,5%
2700,Yageo RC0805 JR-07,5%
3300,Yageo RC0805 JR-07,5%
4300,Yageo RC0805 JR-07,5%
5100,Yageo RC0805 JR-07,5%
6800,Yageo RC0805 JR-07,5%
8200,Yageo RC0805 JR-07,5%
10000,Yageo RC0805 JR-07,5%
12000,Yageo RC0805 JR-07,5%
15000,Yageo RC0805 JR-07,5%
20000,Yageo RC0805 JR-07,5%
27000,Yageo RC0805 JR-07,5%
33000,Yageo RC0805 JR-07,5%
43000,Yageo RC0805 JR-07,5%
51000,Yageo RC0805 JR-07,5%
68000,Yageo RC0805 JR-07,5%
82000,Yageo RC0805 JR-07,5%
100000,Yageo RC0805 JR-07,5%
120000,Yageo RC0805 JR-07,5%
150000,Yageo RC0805 JR-07,5%
200000,Yageo RC0805 JR-07,5%
270000,Yageo RC0805 JR-07,5%
330000,Yageo RC0805 JR-07,5%
430000,Yageo RC0805 JR-07,5%
510000,Yageo RC0805 JR-07,5%
680000,Yageo RC0805 JR-07,5%
820000,Yageo RC0805 JR-07,5%
1000000,Yageo RC0805 JR-07,5%
2000000,Yageo RC0805 JR-07,5%
