"Value, Ohm",mfr pn,"Tolerance, %"
10,Yageo CFR-25J,5%
15,Yageo CFR-25J,5%
24.9,Yageo MFR-25F,1%
47,Yageo CFR-25J,5%
49.9,Yageo MFR-25F,1%
51,Yageo MFR-25F,1%
100,Yageo MFR-25F,1%
100,Yageo CFR-25J,5%
120,Yageo CFR-25J,5%
150,Yageo CFR-25J,5%
180,Yageo CFR-25J,5%
200,Yageo MFR-25F,1%
220,Yageo CFR-25J,5%
270,Yageo CFR-25J,5%
330,Yageo CFR-25J,5%
390,Yageo CFR-25J,5%
470,Yageo CFR-25J,5%
510,Yageo CFR-25J,5%
560,Yageo CFR-25J,5%
620,Yageo CFR-25J,5%
680,Yageo CFR-25J,5%
1000,Yageo MFR-25F,1%
1200,Yageo CFR-25J,5%
1500,Yageo MFR-25F,1%
1800,Yageo MFR-25F,1%
2000,Yageo MFR-25F,1%
2200,Yageo MFR-25F,1%
2700,Yageo CFR-25J,5%
3000,Yageo MFR-25F,
3300,Yageo CFR-25J,5%
3900,Yageo CFR-25J,5%
4700,Yageo MFR-25F,1%
5100,Yageo CFR-25J,5%
5600,Yageo CFR-25J,5%
7500,Yageo CFR-25J,5%
10000,Yageo CFR-25J,5%
12000,Yageo CFR-25J,5%
15000,Yageo CFR-25J,
18000,Yageo CFR-25J,
20000,Yageo CFR-25J,
22000,Yageo CFR-25J,5%
33000,Yageo CFR-25J,5%
47000,Yageo CFR-25J,5%
82000,Yageo CFR-25J,
100000,Yageo CFR-25J,5%
150000,Yageo CFR-25J,5%
180000,Yageo CFR-25J,5%
270000,Yageo CFR-25J,5%
330000,Yageo CFR-25J,
390000,Yageo CFR-25J,5%
470000,Yageo CFR-25J,5%
560000,Yageo CFR-25J,5%
680000,Yageo CFR-25J,5%
820000,Yageo CFR-25J,5%
1000000,Yageo CFR-25J,5%
3300000,Yageo CFR-25J,5%
10000000,Yageo CFR-25J,5%
33000000,Yageo CFR-25J,
