"P/N","Description"
7400, Quad 2-in NAND
7401, Quad 2-in NAND OC out
7402, Quad 2-in NOR
7404, Hex Inverter
7405, Hex Inverter, OC out
7406, Hex Inverter, OC out 30V/40mA
7407, Hex Buffer, OC out 30V/40mA
7408, Quad 2-in AND
7410, Triple 3-in NAND
7411, Triple 3-in AND
7413, Dual 4-in NAND schmitt trigger
7414, Hex Inverter schmitt trigger
7420, Dual 4-in NAND
7421, Dual 4-in AND
7423, Dual 4-in NOR with strobe
7425, Dual 4-in NOR with strobe
7427, triple 3-in NOR
7428, Quad 2-in NOR
7430, Single 8-in NAND
7432, Quad 2-in OR
7437, Quad 2-in NAND driver N_o=30
7438, Quad 2-in NAND OC driver N_o=30
7440, Dual 4-in NAND driver N_o=30
7441, BCD to Decimal decoder / Nixie tube driver OC 70V
7442, BCD to Decimal decoder
7447, BCD to 7-segment decoder OC 15V
7448, BCD to 7-segment decoder OC 2k pullup
7450, Dual 2-2-input AND-OR-Invert
7453, 2-2-2-2-input AND-OR-Invert
7454, 2-2-2-2-input AND-OR-Invert
7460, Dual 4-input expander for 7423, 7450, 7453, 7455
7463, hex current sensing interface
7474, Dual D rising edge trig flipflop
7475, 4-bit bistable latch complimentary out
7476, Dual JK flipflop
7485, 4-bin magnitude comparator
7486, Quad 2-input XOR
7487, 4-bit true/complement/zero/one element
7490, Decade counter (divide by 2 and divide by 5 section)
7492, Divide by 12 counter (separate /2 and /6 sections)
7493, 4-bit counter (separate /2 and /8 sections)
7495, 4-bit shift register parallel in/out, serial in
7496, 5-bit parallel inout shift register
74100, Dual 4-bit bistable latch
74116, Dual 4-bit 
74120,
74121,
74123,
74125,
74126,
74138,
74139,
74145,
74148,
74151,
74153,
74154,
74155,
74156,
74157,
74158,
74161,
74162,
74165,
74173,
74174,
74175,
74181,
74193,
74195,
74197,
74199,
74221,
74240,
74241,
74243,
74245,
74266,
74273,
74283,
74296,
74239,
74373,
74374,
74367,
74670,
75138,
